1,4095,4555,4472
2,58323,66212,78767
3,91465,94763,106518
4,109617,112543,112551
5,124664,113186,127262
6,159666,164735,161494
7,183958,185129,202958
8,269293,265694,240147
9,273670,322116,305844
10,318717,261038,371612
11,342319,269519,356264
12,308611,347470,347317
13,326077,357814,356178
14,353367,319023,380421
15,410653,304439,415245
16,338224,363431,360815
17,345864,375163,354172
18,321979,355723,382129
19,359978,310949,333242
20,343368,286519,350819
21,314655,298724,329210
